days_out,query_date,wtp_J,bid_J,pacing_J,sold_J,available_J,protected_J,load_factor_J,wtp_W,bid_W,pacing_W,sold_W,available_W,protected_W,load_factor_W,wtp_Y,bid_Y,pacing_Y,sold_Y,available_Y,protected_Y,load_factor_Y,bookings_this_step,group_bookings_this_step,award_bookings_this_step
147,2026-03-16,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,11.3094,1,25,11,0.0417,417.04,302.42,0.7252,2,224,151,0.0099,0,0,0
146,2026-03-17,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,10.7599,1,25,11,0.0417,417.04,290.72,0.6971,2,224,151,0.0099,0,0,0
145,2026-03-18,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,10.2372,1,25,11,0.0417,417.04,279.49,0.6702,2,224,150,0.0099,0,0,0
144,2026-03-19,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,9.7399,1,25,11,0.0417,417.04,268.69,0.6443,2,224,150,0.0099,0,0,0
143,2026-03-20,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,9.2669,1,25,11,0.0417,417.04,258.32,0.9291,3,223,150,0.0149,0,0,1
142,2026-03-21,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,8.8170,1,25,11,0.0417,417.04,372.52,0.8932,3,223,150,0.0149,0,0,0
141,2026-03-22,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,8.3890,1,25,11,0.0417,417.04,358.16,0.8588,3,223,150,0.0149,0,0,0
140,2026-03-23,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,7.9819,1,25,11,0.0417,417.04,344.36,1.1010,4,222,150,0.0198,1,0,0
139,2026-03-24,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,7.5947,1,25,11,0.0417,417.04,441.47,1.0586,4,222,150,0.0198,0,0,0
138,2026-03-25,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,7.2263,1,25,11,0.0417,417.04,424.48,1.0178,4,222,150,0.0198,0,0,0
137,2026-03-26,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,6.8759,1,25,11,0.0417,417.04,408.16,0.9787,4,222,149,0.0198,0,0,0
136,2026-03-27,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,6.5426,1,25,11,0.0417,417.04,392.48,0.9411,4,222,149,0.0198,0,0,0
135,2026-03-28,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,6.2255,1,25,11,0.0417,417.04,377.41,1.1312,5,221,149,0.0248,0,0,1
134,2026-03-29,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,5.9240,1,25,11,0.0417,417.04,453.67,1.0878,5,221,149,0.0248,0,0,0
133,2026-03-30,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,5.6371,1,25,11,0.0417,417.04,436.29,1.0461,5,221,149,0.0248,0,0,0
132,2026-03-31,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,5.3642,1,25,11,0.0417,417.04,419.59,1.0061,5,221,149,0.0248,0,0,0
131,2026-04-01,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,5.1046,1,25,11,0.0417,417.04,403.54,0.9676,5,221,148,0.0248,0,0,0
130,2026-04-02,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,4.8577,1,25,11,0.0417,417.04,388.12,0.9306,5,221,148,0.0248,0,0,0
129,2026-04-03,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,4.6228,1,25,11,0.0417,417.04,373.31,1.0742,6,220,148,0.0297,1,0,0
128,2026-04-04,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,4.3994,1,25,11,0.0417,417.04,430.89,1.0332,6,220,148,0.0297,0,0,0
127,2026-04-05,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,4.1868,1,25,11,0.0417,417.04,414.48,0.9939,6,220,148,0.0297,0,0,0
126,2026-04-06,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,3.9847,1,25,11,0.0417,417.04,398.71,0.9560,6,220,147,0.0297,0,0,0
125,2026-04-07,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,3.7924,1,25,11,0.0417,417.04,383.57,0.9197,6,220,147,0.0297,0,0,0
124,2026-04-08,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,3.6095,1,25,11,0.0417,417.04,369.01,0.8848,6,220,147,0.0297,0,0,0
123,2026-04-09,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,3.4355,1,25,11,0.0417,417.04,355.03,1.1351,8,218,147,0.0396,2,0,0
122,2026-04-10,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,3.2699,1,25,11,0.0417,417.04,455.46,1.0921,8,218,146,0.0396,0,0,0
121,2026-04-11,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,3.1125,1,25,11,0.0417,417.04,438.25,1.0508,8,218,146,0.0396,0,0,0
120,2026-04-12,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,2.9627,1,25,11,0.0417,417.04,421.71,1.0112,8,218,146,0.0396,0,0,0
119,2026-04-13,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,2.8203,1,25,11,0.0417,417.04,405.82,0.9731,8,218,146,0.0396,0,0,0
